company_id,fiscal_period,stock_price_open,stock_price_min,stock_price_max,stock_price_close
1,2022-03-31,26.1541,31.6968,23.2498,26.5047
1,2022-06-30,26.5047,27.4812,21.3898,22.7847
1,2022-09-30,22.7382,26.8767,20.9247,25.9002
1,2022-12-31,25.6677,31.9916,25.6677,27.4346
1,2023-03-31,27.5742,52.434,27.5742,44.0407
1,2023-06-30,44.0879,72.6154,44.0879,67.1457
1,2023-09-30,69.2204,73.3699,54.886,57.1493
1,2023-12-31,57.5265,88.0816,51.4909,81.103
1,2024-03-31,82.8004,151.503,76.199,144.266
1,2024-06-30,145.52,147.643,112.904,140.502
1,2024-09-30,140.502,185.664,119.273,185.085
1,2024-12-31,185.664,195.41,156.907,191.647
1,2025-03-31,192.998,241,190.489,215
1,2025-06-30,214.2,236.4,184,188
1,2025-09-30,190.2,259,180.2,252
1,2025-12-31,252,284.4,245.2,259.2
2,2022-03-31,11.7994,14.0093,9.70319,13.7117
2,2022-06-30,13.8818,16.4824,13.6125,15.7498
2,2022-09-30,15.8414,17.9322,14.9258,15.4141
2,2022-12-31,15.2614,24.6473,15.1852,23.6705
2,2023-03-31,23.9757,28.1574,21.6255,24.1894
2,2023-06-30,24.1894,33.4836,24.0368,31.6827
2,2023-09-30,32.049,36.3235,25.9453,26.5507
2,2023-12-31,26.5507,33.8327,25.0112,32.7084
2,2024-03-31,32.9505,49.9879,31.6705,47.3069
2,2024-06-30,47.8258,68.248,47.8258,66.6842
2,2024-09-30,67.0379,68.0246,51.1953,57.1154
2,2024-12-31,57.1154,68.6948,56.2218,65.53
2,2025-03-31,66.0885,72.6043,58.3999,63.4263
2,2025-06-30,63.4263,85.4124,59.2563,81.46
2,2025-09-30,81.5,82.22,69.94,71.8
2,2025-12-31,72.16,73.52,61.86,69.82
3,2022-03-31,49.2821,50.6089,36.0139,45.7754
3,2022-06-30,45.8703,46.4389,34.1658,36.5836
3,2022-09-30,37.1612,38.8942,34.1767,37.0649
3,2022-12-31,37.5463,46.2108,31.5292,45.1999
3,2023-03-31,46.1145,53.4312,42.9375,51.5058
3,2023-06-30,52.8536,74.515,48.1362,72.2044
3,2023-09-30,72.0118,83.7571,64.6377,77.3309
3,2023-12-31,78.8931,96.0778,68.9338,85.3374
3,2024-03-31,86.8996,116.68,82.994,108.38
3,2024-06-30,108.38,136.696,99.1047,123.503
3,2024-09-30,123.503,136.841,111.647,129.431
3,2024-12-31,129.431,151.168,107.695,148.698
3,2025-03-31,148.204,160.06,137.335,149.686
3,2025-06-30,147.808,173.695,128.443,169.6
3,2025-09-30,169.4,198.4,154,190.2
3,2025-12-31,191,209,170.4,200
4,2022-03-31,275.622,304.115,199.461,264.592
4,2022-06-30,264.592,270.501,195.135,211.766
4,2022-09-30,214.773,267.848,198.143,208.758
4,2022-12-31,207.874,280.762,200.266,274.216
4,2023-03-31,276.87,316.144,253.163,272.624
4,2023-06-30,274.216,363.381,274.216,360.903
4,2023-09-30,364.442,404.956,340.455,380.736
4,2023-12-31,383.494,452.652,367.676,438.673
4,2024-03-31,441.433,442.904,379.815,407.405
4,2024-06-30,409.98,460.104,388.46,442.136
4,2024-09-30,442.518,459.722,387.275,424.168
4,2024-12-31,424.168,433.725,387.849,397.406
4,2025-03-31,405.244,442.518,359.94,360.705
4,2025-06-30,363.19,404.097,328.878,383.93
4,2025-09-30,386.128,482.6,379.82,458
4,2025-12-31,457,490,428.5,486.2
5,2022-03-31,14899.7,16445.7,6434.89,9907.17
5,2022-06-30,10080,10218.2,7177.73,8047.14
5,2022-09-30,7962.16,9313.03,6884.14,6973.6
5,2022-12-31,7148.05,9840.83,6436.81,9527.74
5,2023-03-31,9527.74,11299.1,8051.62,8570.5
5,2023-06-30,8552.61,13338.7,8199.23,12533.7
5,2023-09-30,12524.8,13545.4,11448.1,12011.6
5,2023-12-31,12159.5,15642.7,10958.2,14959
5,2024-03-31,14959,17536.9,10080.6,14136.8
